Student,LPIPS,SSIM
111590028.png,0.0,1.0
110590455.png,0.1643344759941101,0.7474952249970006
113590051.png,0.25735345482826233,0.730352550747631
113590039.png,0.2612881660461426,0.7203356187599593
111590047.png,0.2694380581378937,0.7074068208055373
114054809.png,0.26991090178489685,0.6932180851771894
113370239.png,0.2881077229976654,0.7279373226173473
113590031.png,0.29737240076065063,0.7070594056454069
113590052.png,0.2996552884578705,0.722899923306518
113590003.png,0.3072522282600403,0.6969907007400338
113590060.png,0.31090468168258667,0.7050498731944407
113590061.png,0.31230488419532776,0.7086920981117041
113AC1012.png,0.31516367197036743,0.6801740896586703
113590056.png,0.3161231279373169,0.665394675166145
113590001.png,0.319680780172348,0.6622317722327833
113590036.png,0.3204074203968048,0.6576159883420366
113590026.png,0.32426464557647705,0.686676606926362
113590022.png,0.32608842849731445,0.7148005772019749
111590062.png,0.3410372734069824,0.6802480826974796
112590040.png,0.34182947874069214,0.6615911266393888
113590015.png,0.3451804518699646,0.6429277341054219
112590455.png,0.3505164384841919,0.6825032273771962
112590454.png,0.3537771701812744,0.6515836128015587
113590047.png,0.35492411255836487,0.7468174696290488
113590021.png,0.3619685769081116,0.6726408148531547
113590044.png,0.3653421998023987,0.646497710314663
113590045.png,0.3685051500797272,0.6297221146868628
113590062.png,0.3733527958393097,0.5932328353152828
113590004.png,0.38167086243629456,0.7449919617987812
113590057.png,0.383710116147995,0.616507694951648
113590002.png,0.3884819746017456,0.6402923105493008
113590025.png,0.39003700017929077,0.7792201330946276
113590043.png,0.3903140425682068,0.7713678022092291
113590018.png,0.40186232328414917,0.6173993247050167
113590011.png,0.402026891708374,0.6218675581045321
113590010.png,0.4043315649032593,0.6235280053245444
113AB0018.png,0.4054771661758423,0.6123915488124633
113590006.png,0.40559086203575134,0.5823502389366589
113590042.png,0.40683498978614807,0.6181495710313758
111590042.png,0.4247787594795227,0.7908432326966766
113590050.png,0.426488995552063,0.5660544869684284
113590028.png,0.4486715495586395,0.5868298941441721
113590023.png,0.4487065076828003,0.5430061314481919
113590059.png,0.46312788128852844,0.5420437455525656
113590049.png,0.49562907218933105,0.5054000774159063
111590455.png,0.502339243888855,0.5404137666971727
113590008.png,0.5417389869689941,0.47148184588814285
112590058.jpg,0.5505130887031555,0.41925650565602346
